episode,steps,reward,coins,invalid,self_kill,eps
605,64,7.3,14,6,0,0.01
606,43,7.1,17,5,0,0.01
607,36,11.9,17,0,0,0.01
608,400,-1.0,11,54,0,0.01
609,93,9.5,18,9,0,0.01
610,28,6.1,11,0,0,0.01
611,52,-1.9,12,7,1,0.01
612,37,2.4,11,4,0,0.01
613,29,8.5,14,1,0,0.01
614,29,7.1,12,2,0,0.01
615,400,6.3,15,2,0,0.01
616,53,4.0,17,4,1,0.01
617,67,9.9,17,7,0,0.01
618,34,8.7,14,0,0,0.01
619,27,5.0,13,3,0,0.01
620,75,1.6,13,0,1,0.01
621,43,8.0,14,3,0,0.01
622,31,6.5,12,0,0,0.01
623,37,6.2,12,1,0,0.01
624,161,-6.8,9,8,1,0.01
625,29,4.0,9,1,0,0.01
626,33,13.0,18,1,0,0.01
627,42,6.6,12,0,0,0.01
628,61,1.9,12,11,0,0.01
629,56,2.6,12,4,0,0.01
630,122,6.7,18,12,0,0.01
631,42,8.2,14,2,0,0.01
632,28,7.8,13,2,0,0.01
633,101,5.9,15,7,0,0.01
634,64,2.0,10,6,0,0.01
635,22,-1.0,7,4,0,0.01
636,31,2.5,10,0,0,0.01
637,18,3.6,9,2,0,0.01
638,40,1.3,8,1,0,0.01
639,47,7.5,17,5,0,0.01
640,18,-1.0,4,2,0,0.01
641,43,2.0,8,3,0,0.01
642,113,1.8,12,6,0,0.01
643,400,-8.9,14,18,0,0.01
644,42,9.7,15,0,0,0.01
645,71,7.8,14,6,0,0.01
646,400,6.9,14,31,0,0.01
647,35,7.5,13,1,0,0.01
648,37,7.7,17,4,0,0.01
649,400,14.5,18,2,0,0.01
650,37,7.1,13,2,0,0.01
651,91,8.1,17,5,0,0.01
652,30,-4.2,8,1,1,0.01
653,400,15.9,20,4,0,0.01
654,34,6.7,12,2,0,0.01
655,40,10.5,16,0,0,0.01
656,25,6.0,11,0,0,0.01
657,37,4.2,10,1,0,0.01
658,37,6.3,12,1,0,0.01
659,58,3.9,11,2,0,0.01
660,36,4.4,10,3,0,0.01
661,41,11.1,16,1,0,0.01
662,32,7.9,13,0,0,0.01
663,101,-2.2,8,2,0,0.01
664,38,2.0,8,1,0,0.01
665,52,1.7,12,11,0,0.01
666,20,1.0,6,2,0,0.01
667,23,2.8,8,1,0,0.01
668,22,5.1,10,0,0,0.01
669,37,11.1,17,1,0,0.01
670,207,5.7,18,6,0,0.01
671,400,11.0,17,10,0,0.01
672,35,7.2,12,2,0,0.01
673,400,-4.5,19,7,0,0.01
674,43,7.9,14,2,0,0.01
675,18,-0.4,5,2,0,0.01
676,256,-9.6,14,4,1,0.01
677,55,10.8,21,6,0,0.01
678,120,8.2,17,1,0,0.01
679,30,7.1,12,0,0,0.01
680,20,2.0,7,1,0,0.01
681,400,22.9,25,1,0,0.01
682,38,10.8,16,0,0,0.01
683,34,6.2,11,0,0,0.01
684,85,7.6,16,13,0,0.01
685,25,0.6,9,5,0,0.01
686,400,6.8,14,0,0,0.01
687,26,6.2,11,0,0,0.01
688,35,5.9,11,1,0,0.01
689,41,9.8,15,1,0,0.01
690,59,1.9,9,2,0,0.01
691,26,6.1,11,0,0,0.01
692,400,12.5,16,5,0,0.01
693,26,2.5,8,2,0,0.01
694,400,10.0,13,0,0,0.01
695,113,5.2,15,8,0,0.01
696,17,1.0,6,1,0,0.01
697,202,-12.2,11,5,1,0.01
698,400,9.4,17,2,0,0.01
699,50,9.8,16,0,0,0.01
700,21,1.8,7,1,0,0.01
701,32,7.8,13,2,0,0.01
702,400,17.3,25,1,0,0.01
703,19,5.1,10,0,0,0.01
704,31,5.0,13,3,0,0.01
705,60,5.4,12,1,0,0.01
706,37,5.3,13,3,0,0.01
707,38,2.2,8,4,0,0.01
708,64,11.6,19,2,0,0.01
709,28,3.9,9,1,0,0.01
710,42,6.4,12,0,0,0.01
711,17,4.7,10,1,0,0.01
712,52,6.1,14,9,0,0.01
713,15,-0.1,5,1,0,0.01
714,33,5.9,12,3,0,0.01
715,32,5.3,11,0,0,0.01
716,52,8.1,15,0,0,0.01
717,18,8.2,13,0,0,0.01
718,44,2.1,12,7,0,0.01
719,84,8.1,18,3,0,0.01
720,84,8.2,16,3,0,0.01
721,79,2.8,11,0,0,0.01
722,400,2.2,12,32,0,0.01
723,37,10.8,17,2,0,0.01
724,37,7.9,13,1,0,0.01
725,190,3.4,18,4,1,0.01
726,30,10.3,16,2,0,0.01
727,33,7.6,13,1,0,0.01
728,101,4.9,13,0,0,0.01
729,24,5.0,10,1,0,0.01
730,46,7.4,13,4,0,0.01
731,36,12.4,18,1,0,0.01
732,20,7.2,12,0,0,0.01
733,45,10.9,17,0,0,0.01
734,400,15.5,17,0,0,0.01
735,30,10.1,15,0,0,0.01
736,35,1.8,8,5,0,0.01
737,18,-0.8,4,2,0,0.01
738,24,6.8,12,2,0,0.01
739,168,-1.2,9,3,0,0.01
740,400,7.7,13,0,0,0.01
741,400,12.6,17,0,0,0.01
742,46,6.8,13,2,0,0.01
743,38,9.7,15,0,0,0.01
744,38,10.6,16,2,0,0.01
745,201,-0.8,14,3,0,0.01
746,25,3.9,9,0,0,0.01
