episode,steps,reward,coins,invalid,self_kill,eps
568,400,-18.322,7,4,0,0.01
569,53,-7.482,6,19,1,0.01
570,35,-13.866,2,3,1,0.01
571,307,-26.658,9,18,1,0.01
572,400,-17.463,15,3,0,0.01
573,147,-22.466,3,5,1,0.01
574,400,-21.437,4,0,0,0.01
575,233,-9.672,19,13,1,0.01
576,41,-11.353,4,5,1,0.01
577,26,-14.237,1,16,1,0.01
578,400,-26.46,10,2,0,0.01
579,129,-15.775,6,30,1,0.01
580,400,-17.273,7,6,0,0.01
581,400,-17.681,8,6,0,0.01
582,400,-20.523,5,2,0,0.01
583,400,-22.333,4,3,0,0.01
584,67,-14.198,5,31,1,0.01
585,84,-6.4,12,29,1,0.01
586,23,-9.118,5,10,1,0.01
587,53,-13.166,5,27,1,0.01
588,315,-28.562,13,54,1,0.01
589,172,-18.853,7,29,1,0.01
590,400,-19.757,14,23,0,0.01
591,400,-4.373,19,64,0,0.01
592,286,-24.093,6,0,1,0.01
593,180,-10.912,15,42,1,0.01
594,400,-17.979,5,3,0,0.01
595,131,-15.87,6,30,1,0.01
596,61,-9.488,9,28,1,0.01
597,400,-15.595,10,11,0,0.01
598,109,-12.042,9,25,1,0.01
599,400,-18.07,8,8,0,0.01
600,400,-14.426,13,33,0,0.01
601,400,-22.988,3,2,0,0.01
602,278,-30.191,3,23,1,0.01
603,99,-8.413,11,12,1,0.01
604,400,-32.741,0,187,0,0.01
605,65,-8.07,8,30,1,0.01
606,400,-16.7,7,7,0,0.01
607,21,-13.676,1,8,1,0.01
608,400,-24.133,5,52,0,0.01
609,396,-22.731,10,22,1,0.01
610,400,-23.304,4,35,0,0.01
611,400,-21.068,9,17,0,0.01
612,400,-22.487,2,5,0,0.01
613,400,-6.113,18,21,0,0.01
614,153,-19.713,5,48,1,0.01
615,40,-10.248,3,8,1,0.01
616,72,-11.819,7,41,1,0.01
617,62,-6.383,10,14,1,0.01
618,73,-14.718,2,6,1,0.01
619,400,-9.744,15,19,0,0.01
620,75,-7.272,8,29,1,0.01
621,400,-35.77,4,10,0,0.01
622,12,-12.448,1,8,1,0.01
623,400,-13.672,13,23,0,0.01
624,26,-6.968,7,6,1,0.01
625,18,-10.336,4,6,1,0.01
626,400,-15.092,11,0,0,0.01
627,44,-6.971,9,15,1,0.01
628,400,-18.357,14,8,0,0.01
629,229,-16.902,12,41,1,0.01
630,400,-18.166,5,22,0,0.01
631,48,-14.016,3,10,1,0.01
632,22,-7.956,5,2,1,0.01
633,400,-13.687,9,0,0,0.01
634,360,-19.58,13,26,1,0.01
635,26,-8.028,6,7,1,0.01
636,34,-9.498,5,13,1,0.01
637,103,-2.22,14,29,1,0.01
638,48,-3.561,9,12,1,0.01
639,96,-3.64,15,13,1,0.01
640,20,-9.611,4,4,1,0.01
641,372,-30.077,8,36,1,0.01
642,400,-17.971,7,6,0,0.01
643,400,-21.588,4,1,0,0.01
644,103,-10.103,9,8,1,0.01
645,400,-15.121,9,0,0,0.01
646,39,-12.133,4,17,1,0.01
647,400,-20.568,5,0,0,0.01
648,400,-15.765,10,10,0,0.01
649,87,-13.565,2,24,1,0.01
650,49,-15.398,2,2,1,0.01
651,400,-7.925,17,0,0,0.01
652,400,-23.33,6,11,0,0.01
653,400,-14.457,7,50,0,0.01
654,101,-13.139,5,16,1,0.01
655,7,-13.233,0,3,1,0.01
656,47,-8.636,8,17,1,0.01
657,299,-18.578,13,21,1,0.01
658,49,-7.716,8,17,1,0.01
659,400,-19.07,9,21,0,0.01
660,400,-17.106,7,1,0,0.01
661,115,-13.59,7,37,1,0.01
662,400,-37.856,3,0,0,0.01
663,400,-11.547,10,19,0,0.01
664,400,-10.262,15,2,0,0.01
665,30,-7.161,7,6,1,0.01
666,66,-8.673,7,4,1,0.01
667,19,-14.011,1,14,1,0.01
668,36,-3.676,10,5,1,0.01
669,400,-22.55,3,0,0,0.01
670,264,-27.338,4,83,1,0.01
671,400,-32.953,3,0,0,0.01
672,299,-26.541,6,2,1,0.01
673,137,-10.306,9,2,1,0.01
674,400,-9.754,11,30,0,0.01
675,400,-15.872,4,2,0,0.01
676,39,-13.511,2,7,1,0.01
677,289,-22.261,8,0,1,0.01
678,400,-27.157,11,23,0,0.01
679,400,-17.369,10,27,0,0.01
680,66,-10.751,6,10,1,0.01
681,400,-16.296,8,1,0,0.01
682,316,-20.551,9,13,1,0.01
683,76,-8.965,8,30,1,0.01
684,400,-19.061,1,59,0,0.01
685,54,-4.104,11,15,1,0.01
686,79,-20.403,1,3,1,0.01
687,181,-18.218,4,1,1,0.01
688,360,-42.869,1,6,1,0.01
689,400,-20.043,5,11,0,0.01
690,5,-11.048,2,2,1,0.01
691,42,-7.947,6,12,1,0.01
692,186,-25.013,5,16,1,0.01
693,400,-19.63,7,11,0,0.01
694,400,-14.325,12,3,0,0.01
695,44,-7.684,7,8,1,0.01
696,309,-21.296,12,47,1,0.01
697,289,-24.865,13,22,1,0.01
698,400,-11.218,13,1,0,0.01
699,400,-25.205,7,22,0,0.01
700,27,-10.132,4,8,1,0.01
701,72,-14.441,6,46,1,0.01
702,400,-12.553,12,2,0,0.01
703,400,-13.65,9,1,0,0.01
704,216,-21.141,5,0,1,0.01
705,22,-8.213,5,5,1,0.01
706,138,-15.606,5,6,1,0.01
707,15,-12.428,1,8,1,0.01
708,400,-33.218,4,6,0,0.01
709,400,-12.008,12,2,0,0.01
710,76,-5.333,11,9,1,0.01
711,157,-19.093,6,29,1,0.01
712,372,-27.839,9,2,1,0.01
713,90,-15.516,3,3,1,0.01
714,177,-18.921,1,2,1,0.01
715,208,-13.932,7,12,1,0.01
716,40,-13.388,3,19,1,0.01
717,400,-15.757,11,1,0,0.01
718,400,-19.311,5,9,0,0.01
719,400,-17.352,1,0,0,0.01
720,286,-23.181,8,5,1,0.01
721,400,-14.912,9,2,0,0.01
722,318,-40.716,1,0,1,0.01
723,234,-27.613,8,27,1,0.01
724,176,-19.023,6,101,1,0.01
725,77,-13.556,3,0,1,0.01
726,135,-17.107,4,70,1,0.01
727,400,-23.042,9,3,0,0.01
728,350,-24.269,10,9,1,0.01
729,250,-37.238,1,2,1,0.01
730,346,-25.19,9,18,1,0.01
